Periode,DataAktual
1,12172
2,14270
3,15600
4,14998
5,16648
6,15979
7,17646
8,13225
9,14517
10,15392
11,19907
12,22296
13,15384
14,14843
15,19228
16,16383
17,18074
18,16634
19,15851
20,14767
21,16585
22,15285
23,21112
24,21699
25,14405
26,16419
27,17932
28,15011
29,20659
30,20729
31,15677
32,16275
33,18307
34,17404
35,24784
36,27948
37,19029
38,17780
39,18493
40,15956
41,19781
42,19376
43,16579
44,16901
45,17792
46,20946
47,22848
48,29243
49,17286
50,18082
51,17491
52,15167
53,17558
54,15479
55,15879
56,16490
57,14857
58,14160
59,16203
60,19166
61,10080
62,14851
63,15730
64,13280
65,15515
66,12746
67,17999
68,15890
69,19221
70,21300
71,21083
72,26252
73,18457
74,15680
75,20767
76,19273
77,19013
78,18464
79,20437
80,25201
81,19150
82,20738
83,23356
84,26015
85,15656
86,17740
87,21693
88,18538
89,14624
90,18153
91,22330
92,23753
93,19851
94,15744
95,21538
96,19966
97,16253
98,21815
99,21129
100,21613
101,15573
102,18935
103,20929
104,24623
105,18913
106,21518
107,20798
108,22431
