BulanTahun,DataAktual
Jan-11,12172
Feb-11,14270
Mar-11,15600
Apr-11,14998
May-11,16648
Jun-11,15979
Jul-11,17646
Aug-11,13225
Sep-11,14517
Oct-11,15392
Nov-11,19907
Dec-11,22296
Jan-12,15384
Feb-12,14843
Mar-12,19228
Apr-12,16383
May-12,18074
Jun-12,16634
Jul-12,15851
Aug-12,14767
Sep-12,16585
Oct-12,15285
Nov-12,21112
Dec-12,21699
Jan-13,14405
Feb-13,16419
Mar-13,17932
Apr-13,15011
May-13,20659
Jun-13,20729
Jul-13,15677
Aug-13,16275
Sep-13,18307
Oct-13,17404
Nov-13,24784
Dec-13,27948
Jan-14,19029
Feb-14,17780
Mar-14,18493
Apr-14,15956
May-14,19781
Jun-14,19376
Jul-14,16579
Aug-14,16901
Sep-14,17792
Oct-14,20946
Nov-14,22848
Dec-14,29243
Jan-15,17286
Feb-15,18082
Mar-15,17491
Apr-15,15167
May-15,17558
Jun-15,15479
Jul-15,15879
Aug-15,16490
Sep-15,14857
Oct-15,14160
Nov-15,16203
Dec-15,19166
Jan-16,10080
Feb-16,14851
Mar-16,15730
Apr-16,13280
May-16,15515
Jun-16,12746
Jul-16,17999
Aug-16,15890
Sep-16,19221
Oct-16,21300
Nov-16,21083
Dec-16,26252
Jan-17,18457
Feb-17,15680
Mar-17,20767
Apr-17,19273
May-17,19013
Jun-17,18464
Jul-17,20437
Aug-17,25201
Sep-17,19150
Oct-17,20738
Nov-17,23356
Dec-17,26015
Jan-18,15656
Feb-18,17740
Mar-18,21693
Apr-18,18538
May-18,14624
Jun-18,18153
Jul-18,22330
Aug-18,23753
Sep-18,19851
Oct-18,15744
Nov-18,21538
Dec-18,19966
Jan-19,16253
Feb-19,21815
Mar-19,21129
Apr-19,21613
May-19,15573
Jun-19,18935
Jul-19,20929
Aug-19,24623
Sep-19,18913
Oct-19,21518
Nov-19,20798
Dec-19,22431
