BulanTahun,DataAktual
January 2011,12172
February 2011,14270
March 2011,15600
April 2011,14998
May 2011,16648
June 2011,15979
July 2011,17646
August 2011,13225
September 2011,14517
October 2011,15392
November 2011,19907
December 2011,22296
January 2012,15384
February 2012,14843
March 2012,19228
April 2012,16383
May 2012,18074
June 2012,16634
July 2012,15851
August 2012,14767
September 2012,16585
October 2012,15285
November 2012,21112
December 2012,21699
January 2013,14405
February 2013,16419
March 2013,17932
April 2013,15011
May 2013,20659
June 2013,20729
July 2013,15677
August 2013,16275
September 2013,18307
October 2013,17404
November 2013,24784
December 2013,27948
January 2014,19029
February 2014,17780
March 2014,18493
April 2014,15956
May 2014,19781
June 2014,19376
July 2014,16579
August 2014,16901
September 2014,17792
October 2014,20946
November 2014,22848
December 2014,29243
January 2015,17286
February 2015,18082
March 2015,17491
April 2015,15167
May 2015,17558
June 2015,15479
July 2015,15879
August 2015,16490
September 2015,14857
October 2015,14160
November 2015,16203
December 2015,19166
January 2016,10080
February 2016,14851
March 2016,15730
April 2016,13280
May 2016,15515
June 2016,12746
July 2016,17999
August 2016,15890
September 2016,19221
October 2016,21300
November 2016,21083
December 2016,26252
January 2017,18457
February 2017,15680
March 2017,20767
April 2017,19273
May 2017,19013
June 2017,18464
July 2017,20437
August 2017,25201
September 2017,19150
October 2017,20738
November 2017,23356
December 2017,26015
January 2018,15656
February 2018,17740
March 2018,21693
April 2018,18538
May 2018,14624
June 2018,18153
July 2018,22330
August 2018,23753
September 2018,19851
October 2018,15744
November 2018,21538
December 2018,19966
January 2019,16253
February 2019,21815
March 2019,21129
April 2019,21613
May 2019,15573
June 2019,18935
July 2019,20929
August 2019,24623
September 2019,18913
October 2019,21518
November 2019,20798
December 2019,22431
